Title,Rank,Mean Score,Genres,Number of Episodes,Media Type,Studios,Start Date
Sen to Chihiro no Kamikakushi,38,8.78,"[{'id': 2, 'name': 'Adventure'}, {'id': 46, 'name': 'Award Winning'}, {'id': 6, 'name': 'Mythology'}, {'id': 37, 'name': 'Supernatural'}]",1,movie,"[{'id': 21, 'name': 'Studio Ghibli'}]",2001-07-20
Haikyuu!! Karasuno Koukou vs. Shiratorizawa Gakuen Koukou,39,8.78,"[{'id': 23, 'name': 'School'}, {'id': 27, 'name': 'Shounen'}, {'id': 30, 'name': 'Sports'}, {'id': 77, 'name': 'Team Sports'}]",10,tv,"[{'id': 10, 'name': 'Production I.G'}]",2016-10-08
Tian Guan Cifu Er,40,8.78,"[{'id': 1, 'name': 'Action'}, {'id': 2, 'name': 'Adventure'}, {'id': 8, 'name': 'Drama'}, {'id': 10, 'name': 'Fantasy'}, {'id': 13, 'name': 'Historical'}, {'id': 6, 'name': 'Mythology'}]",0,ona,"[{'id': 1325, 'name': 'Haoliners Animation League'}]",2023-10-18
Shingeki no Kyojin: The Final Season Part 2,41,8.77,"[{'id': 1, 'name': 'Action'}, {'id': 8, 'name': 'Drama'}, {'id': 58, 'name': 'Gore'}, {'id': 38, 'name': 'Military'}, {'id': 27, 'name': 'Shounen'}, {'id': 76, 'name': 'Survival'}, {'id': 41, 'name': 'Suspense'}]",12,tv,"[{'id': 569, 'name': 'MAPPA'}]",2022-01-10
Hajime no Ippo,42,8.77,"[{'id': 54, 'name': 'Combat Sports'}, {'id': 27, 'name': 'Shounen'}, {'id': 30, 'name': 'Sports'}]",75,tv,"[{'id': 11, 'name': 'Madhouse'}]",2000-10-04
Monogatari Series: Second Season,43,8.76,"[{'id': 4, 'name': 'Comedy'}, {'id': 7, 'name': 'Mystery'}, {'id': 22, 'name': 'Romance'}, {'id': 37, 'name': 'Supernatural'}, {'id': 32, 'name': 'Vampire'}]",26,tv,"[{'id': 44, 'name': 'Shaft'}]",2013-07-07
Vinland Saga,44,8.75,"[{'id': 1, 'name': 'Action'}, {'id': 2, 'name': 'Adventure'}, {'id': 8, 'name': 'Drama'}, {'id': 58, 'name': 'Gore'}, {'id': 13, 'name': 'Historical'}, {'id': 42, 'name': 'Seinen'}]",24,tv,"[{'id': 858, 'name': 'Wit Studio'}]",2019-07-08
"""Oshi no Ko""",45,8.75,"[{'id': 8, 'name': 'Drama'}, {'id': 72, 'name': 'Reincarnation'}, {'id': 42, 'name': 'Seinen'}, {'id': 75, 'name': 'Showbiz'}, {'id': 37, 'name': 'Supernatural'}]",11,tv,"[{'id': 95, 'name': 'Doga Kobo'}]",2023-04-12
Cowboy Bebop,46,8.75,"[{'id': 1, 'name': 'Action'}, {'id': 50, 'name': 'Adult Cast'}, {'id': 46, 'name': 'Award Winning'}, {'id': 24, 'name': 'Sci-Fi'}, {'id': 29, 'name': 'Space'}]",26,tv,"[{'id': 14, 'name': 'Sunrise'}]",1998-04-03
Bleach: Sennen Kessen-hen - Ketsubetsu-tan,47,8.74,"[{'id': 1, 'name': 'Action'}, {'id': 2, 'name': 'Adventure'}, {'id': 10, 'name': 'Fantasy'}, {'id': 27, 'name': 'Shounen'}]",13,tv,"[{'id': 1, 'name': 'Pierrot'}]",2023-07-08
Kingdom 4th Season,48,8.74,"[{'id': 1, 'name': 'Action'}, {'id': 13, 'name': 'Historical'}, {'id': 38, 'name': 'Military'}, {'id': 42, 'name': 'Seinen'}]",26,tv,"[{'id': 1, 'name': 'Pierrot'}, {'id': 1998, 'name': 'Studio Signpost'}]",2022-04-10
Pluto,49,8.74,"[{'id': 1, 'name': 'Action'}, {'id': 7, 'name': 'Mystery'}, {'id': 40, 'name': 'Psychological'}, {'id': 24, 'name': 'Sci-Fi'}, {'id': 42, 'name': 'Seinen'}, {'id': 41, 'name': 'Suspense'}]",8,ona,"[{'id': 1529, 'name': 'Studio M2'}]",2023-10-26
